split,patch_name,width,height,object_ratio,background_ratio,num_objects,level,keep_ratio,augment_times
Train,img_1_patch_0025_mask.tif,256,256,0.498657,0.501343,14,dense,1.0,1
Train,img_1_patch_0026_mask.tif,256,256,0.460312,0.539688,10,dense,1.0,1
Train,img_1_patch_0027_mask.tif,256,256,0.308197,0.691803,14,normal,1.0,1
Train,img_1_patch_0028_mask.tif,256,256,0.276535,0.723465,9,normal,1.0,1
Train,img_1_patch_0029_mask.tif,256,256,0.286438,0.713562,7,normal,1.0,1
Train,img_1_patch_0030_mask.tif,256,256,0.396652,0.603348,7,normal,1.0,1
Train,img_1_patch_0031_mask.tif,256,256,0.432098,0.567902,9,dense,1.0,1
Train,img_1_patch_0032_mask.tif,256,256,0.381744,0.618256,11,normal,1.0,1
Train,img_1_patch_0033_mask.tif,256,256,0.316101,0.683899,11,normal,1.0,1
Train,img_1_patch_0034_mask.tif,256,256,0.200943,0.799057,11,normal,1.0,1
Train,img_1_patch_0035_mask.tif,256,256,0.176834,0.823166,6,normal,1.0,1
Train,img_1_patch_0036_mask.tif,256,256,0.310959,0.689041,9,normal,1.0,1
Train,img_1_patch_0037_mask.tif,256,256,0.3936,0.6064,9,normal,1.0,1
Train,img_1_patch_0038_mask.tif,256,256,0.405487,0.594513,7,dense,1.0,1
Train,img_1_patch_0039_mask.tif,256,256,0.308792,0.691208,5,normal,1.0,1
Train,img_1_patch_0040_mask.tif,256,256,0.237244,0.762756,3,normal,1.0,1
Train,img_1_patch_0041_mask.tif,256,256,0.147186,0.852814,3,normal,1.0,1
Train,img_1_patch_0042_mask.tif,256,256,0.125305,0.874695,1,normal,1.0,1
Train,img_1_patch_0043_mask.tif,256,256,0.315704,0.684296,5,normal,1.0,1
Train,img_1_patch_0044_mask.tif,256,256,0.37854,0.62146,5,normal,1.0,1
Train,img_1_patch_0045_mask.tif,256,256,0.368774,0.631226,4,normal,1.0,1
Train,img_1_patch_0046_mask.tif,256,256,0.244522,0.755478,4,normal,1.0,1
Train,img_1_patch_0047_mask.tif,256,256,0.169235,0.830765,3,normal,1.0,1
Train,img_1_patch_0048_mask.tif,256,256,0.098984,0.901016,2,sparse,1.0,1
Train,img_1_patch_0049_mask.tif,256,256,0.083725,0.916275,1,sparse,1.0,1
Train,img_2_patch_0001_mask.tif,256,256,0.271561,0.728439,4,normal,1.0,1
Train,img_2_patch_0002_mask.tif,256,256,0.389679,0.610321,3,normal,1.0,1
Train,img_2_patch_0003_mask.tif,256,256,0.384949,0.615051,4,normal,1.0,1
Train,img_2_patch_0004_mask.tif,256,256,0.298889,0.701111,4,normal,1.0,1
Train,img_2_patch_0005_mask.tif,256,256,0.181946,0.818054,4,normal,1.0,1
Train,img_2_patch_0006_mask.tif,256,256,0.063828,0.936172,3,sparse,1.0,1
Train,img_2_patch_0007_mask.tif,256,256,0.037064,0.962936,3,sparse,1.0,1
Train,img_2_patch_0008_mask.tif,256,256,0.315475,0.684525,8,normal,1.0,1
Train,img_2_patch_0009_mask.tif,256,256,0.463669,0.536331,9,dense,1.0,1
Train,img_2_patch_0010_mask.tif,256,256,0.463333,0.536667,9,dense,1.0,1
Train,img_2_patch_0011_mask.tif,256,256,0.372025,0.627975,5,normal,1.0,1
Train,img_2_patch_0012_mask.tif,256,256,0.216553,0.783447,6,normal,1.0,1
Train,img_2_patch_0013_mask.tif,256,256,0.068359,0.931641,3,sparse,1.0,1
Train,img_2_patch_0014_mask.tif,256,256,0.037064,0.962936,3,sparse,1.0,1
Train,img_2_patch_0015_mask.tif,256,256,0.252121,0.747879,6,normal,1.0,1
Train,img_2_patch_0016_mask.tif,256,256,0.396149,0.603851,9,normal,1.0,1
Train,img_2_patch_0017_mask.tif,256,256,0.398926,0.601074,9,normal,1.0,1
Train,img_2_patch_0018_mask.tif,256,256,0.296616,0.703384,8,normal,1.0,1
Train,img_2_patch_0019_mask.tif,256,256,0.187408,0.812592,7,normal,1.0,1
Train,img_2_patch_0020_mask.tif,256,256,0.043381,0.956619,3,sparse,1.0,1
Train,img_2_patch_0021_mask.tif,256,256,0.01799,0.98201,3,sparse,1.0,1
Train,img_2_patch_0022_mask.tif,256,256,0.25174,0.74826,8,normal,1.0,1
Train,img_2_patch_0023_mask.tif,256,256,0.369873,0.630127,12,normal,1.0,1
Train,img_2_patch_0024_mask.tif,256,256,0.336334,0.663666,12,normal,1.0,1
Train,img_2_patch_0025_mask.tif,256,256,0.200943,0.799057,12,normal,1.0,1
Train,img_2_patch_0026_mask.tif,256,256,0.130875,0.869125,7,normal,1.0,1
Train,img_2_patch_0027_mask.tif,256,256,0.012741,0.987259,3,sparse,1.0,1
Train,img_2_patch_0028_mask.tif,256,256,0.000534,0.999466,2,very_sparse,1.0,6
Train,img_2_patch_0029_mask.tif,256,256,0.278442,0.721558,9,normal,1.0,1
Train,img_2_patch_0030_mask.tif,256,256,0.353317,0.646683,13,normal,1.0,1
Train,img_2_patch_0031_mask.tif,256,256,0.317688,0.682312,9,normal,1.0,1
Train,img_2_patch_0032_mask.tif,256,256,0.168808,0.831192,10,normal,1.0,1
Train,img_2_patch_0033_mask.tif,256,256,0.085968,0.914032,8,sparse,1.0,1
Train,img_2_patch_0034_mask.tif,256,256,0.004532,0.995468,1,very_sparse,1.0,6
Train,img_2_patch_0035_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_2_patch_0036_mask.tif,256,256,0.32428,0.67572,5,normal,1.0,1
Train,img_2_patch_0037_mask.tif,256,256,0.368271,0.631729,9,normal,1.0,1
Train,img_2_patch_0038_mask.tif,256,256,0.311234,0.688766,7,normal,1.0,1
Train,img_2_patch_0039_mask.tif,256,256,0.131714,0.868286,9,normal,1.0,1
Train,img_2_patch_0040_mask.tif,256,256,0.052017,0.947983,6,sparse,1.0,1
Train,img_2_patch_0041_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_2_patch_0042_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_2_patch_0043_mask.tif,256,256,0.337494,0.662506,4,normal,1.0,1
Train,img_2_patch_0044_mask.tif,256,256,0.362396,0.637604,7,normal,1.0,1
Train,img_2_patch_0045_mask.tif,256,256,0.297699,0.702301,5,normal,1.0,1
Train,img_2_patch_0046_mask.tif,256,256,0.116959,0.883041,6,normal,1.0,1
Train,img_2_patch_0047_mask.tif,256,256,0.032928,0.967072,5,sparse,1.0,1
Train,img_2_patch_0048_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_2_patch_0049_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_3_patch_0001_mask.tif,256,256,0.279633,0.720367,3,normal,1.0,1
Train,img_3_patch_0002_mask.tif,256,256,0.405655,0.594345,3,dense,1.0,1
Train,img_3_patch_0003_mask.tif,256,256,0.460785,0.539215,7,dense,1.0,1
Train,img_3_patch_0004_mask.tif,256,256,0.49234,0.50766,8,dense,1.0,1
Train,img_3_patch_0005_mask.tif,256,256,0.465591,0.534409,8,dense,1.0,1
Train,img_3_patch_0006_mask.tif,256,256,0.398788,0.601212,35,normal,1.0,1
Train,img_3_patch_0007_mask.tif,256,256,0.369797,0.630203,34,normal,1.0,1
Train,img_3_patch_0008_mask.tif,256,256,0.332397,0.667603,6,normal,1.0,1
Train,img_3_patch_0009_mask.tif,256,256,0.483749,0.516251,6,dense,1.0,1
Train,img_3_patch_0010_mask.tif,256,256,0.547211,0.452789,11,dense,1.0,1
Train,img_3_patch_0011_mask.tif,256,256,0.595032,0.404968,10,dense,1.0,1
Train,img_3_patch_0012_mask.tif,256,256,0.590347,0.409653,9,dense,1.0,1
Train,img_3_patch_0013_mask.tif,256,256,0.525558,0.474442,37,dense,1.0,1
Train,img_3_patch_0014_mask.tif,256,256,0.494339,0.505661,34,dense,1.0,1
Train,img_3_patch_0015_mask.tif,256,256,0.265549,0.734451,5,normal,1.0,1
Train,img_3_patch_0016_mask.tif,256,256,0.420288,0.579712,5,dense,1.0,1
Train,img_3_patch_0017_mask.tif,256,256,0.505508,0.494492,13,dense,1.0,1
Train,img_3_patch_0018_mask.tif,256,256,0.584854,0.415146,11,dense,1.0,1
Train,img_3_patch_0019_mask.tif,256,256,0.631409,0.368591,9,dense,1.0,1
Train,img_3_patch_0020_mask.tif,256,256,0.563004,0.436996,33,dense,1.0,1
Train,img_3_patch_0021_mask.tif,256,256,0.52858,0.47142,29,dense,1.0,1
Train,img_3_patch_0022_mask.tif,256,256,0.272095,0.727905,7,normal,1.0,1
Train,img_3_patch_0023_mask.tif,256,256,0.425278,0.574722,6,dense,1.0,1
Train,img_3_patch_0024_mask.tif,256,256,0.495682,0.504318,12,dense,1.0,1
Train,img_3_patch_0025_mask.tif,256,256,0.507019,0.492981,14,dense,1.0,1
Train,img_3_patch_0026_mask.tif,256,256,0.554916,0.445084,9,dense,1.0,1
Train,img_3_patch_0027_mask.tif,256,256,0.480408,0.519592,14,dense,1.0,1
Train,img_3_patch_0028_mask.tif,256,256,0.449081,0.550919,8,dense,1.0,1
Train,img_3_patch_0029_mask.tif,256,256,0.28624,0.71376,7,normal,1.0,1
Train,img_3_patch_0030_mask.tif,256,256,0.406937,0.593063,8,dense,1.0,1
Train,img_3_patch_0031_mask.tif,256,256,0.449097,0.550903,10,dense,1.0,1
Train,img_3_patch_0032_mask.tif,256,256,0.406631,0.593369,12,dense,1.0,1
Train,img_3_patch_0033_mask.tif,256,256,0.39032,0.60968,13,normal,1.0,1
Train,img_3_patch_0034_mask.tif,256,256,0.292023,0.707977,12,normal,1.0,1
Train,img_3_patch_0035_mask.tif,256,256,0.267914,0.732086,7,normal,1.0,1
Train,img_3_patch_0036_mask.tif,256,256,0.31076,0.68924,9,normal,1.0,1
Train,img_3_patch_0037_mask.tif,256,256,0.403885,0.596115,10,dense,1.0,1
Train,img_3_patch_0038_mask.tif,256,256,0.422485,0.577515,8,dense,1.0,1
Train,img_3_patch_0039_mask.tif,256,256,0.333679,0.666321,6,normal,1.0,1
Train,img_3_patch_0040_mask.tif,256,256,0.265793,0.734207,5,normal,1.0,1
Train,img_3_patch_0041_mask.tif,256,256,0.165253,0.834747,4,normal,1.0,1
Train,img_3_patch_0042_mask.tif,256,256,0.143372,0.856628,2,normal,1.0,1
Train,img_3_patch_0043_mask.tif,256,256,0.315506,0.684494,5,normal,1.0,1
Train,img_3_patch_0044_mask.tif,256,256,0.388824,0.611176,6,normal,1.0,1
Train,img_3_patch_0045_mask.tif,256,256,0.385773,0.614227,5,normal,1.0,1
Train,img_3_patch_0046_mask.tif,256,256,0.269409,0.730591,5,normal,1.0,1
Train,img_3_patch_0047_mask.tif,256,256,0.195267,0.804733,5,normal,1.0,1
Train,img_3_patch_0048_mask.tif,256,256,0.114532,0.885468,3,normal,1.0,1
Train,img_3_patch_0049_mask.tif,256,256,0.099274,0.900726,2,sparse,1.0,1
Train,img_4_patch_0001_mask.tif,256,256,0.271561,0.728439,4,normal,1.0,1
Train,img_4_patch_0002_mask.tif,256,256,0.347458,0.652542,5,normal,1.0,1
Train,img_4_patch_0003_mask.tif,256,256,0.2789,0.7211,5,normal,1.0,1
Train,img_4_patch_0004_mask.tif,256,256,0.192841,0.807159,5,normal,1.0,1
Train,img_4_patch_0005_mask.tif,256,256,0.075897,0.924103,5,sparse,1.0,1
Train,img_4_patch_0006_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0007_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0008_mask.tif,256,256,0.315475,0.684525,8,normal,1.0,1
Train,img_4_patch_0009_mask.tif,256,256,0.400909,0.599091,9,dense,1.0,1
Train,img_4_patch_0010_mask.tif,256,256,0.332214,0.667786,9,normal,1.0,1
Train,img_4_patch_0011_mask.tif,256,256,0.240906,0.759094,5,normal,1.0,1
Train,img_4_patch_0012_mask.tif,256,256,0.085434,0.914566,6,sparse,1.0,1
Train,img_4_patch_0013_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0014_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0015_mask.tif,256,256,0.252121,0.747879,6,normal,1.0,1
Train,img_4_patch_0016_mask.tif,256,256,0.310623,0.689377,8,normal,1.0,1
Train,img_4_patch_0017_mask.tif,256,256,0.27002,0.72998,8,normal,1.0,1
Train,img_4_patch_0018_mask.tif,256,256,0.167709,0.832291,7,normal,1.0,1
Train,img_4_patch_0019_mask.tif,256,256,0.058502,0.941498,6,sparse,1.0,1
Train,img_4_patch_0020_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0021_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0022_mask.tif,256,256,0.25174,0.74826,8,normal,1.0,1
Train,img_4_patch_0023_mask.tif,256,256,0.277405,0.722595,10,normal,1.0,1
Train,img_4_patch_0024_mask.tif,256,256,0.231125,0.768875,10,normal,1.0,1
Train,img_4_patch_0025_mask.tif,256,256,0.095734,0.904266,10,sparse,1.0,1
Train,img_4_patch_0026_mask.tif,256,256,0.025665,0.974335,5,sparse,1.0,1
Train,img_4_patch_0027_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0028_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0029_mask.tif,256,256,0.269638,0.730362,9,normal,1.0,1
Train,img_4_patch_0030_mask.tif,256,256,0.272659,0.727341,10,normal,1.0,1
Train,img_4_patch_0031_mask.tif,256,256,0.232498,0.767502,6,normal,1.0,1
Train,img_4_patch_0032_mask.tif,256,256,0.083618,0.916382,7,sparse,1.0,1
Train,img_4_patch_0033_mask.tif,256,256,0.009583,0.990417,3,very_sparse,1.0,6
Train,img_4_patch_0034_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0035_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0036_mask.tif,256,256,0.299591,0.700409,5,normal,1.0,1
Train,img_4_patch_0037_mask.tif,256,256,0.291611,0.708389,6,normal,1.0,1
Train,img_4_patch_0038_mask.tif,256,256,0.234573,0.765427,4,normal,1.0,1
Train,img_4_patch_0039_mask.tif,256,256,0.055054,0.944946,6,sparse,1.0,1
Train,img_4_patch_0040_mask.tif,256,256,4.6e-05,0.999954,1,very_sparse,1.0,6
Train,img_4_patch_0041_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0042_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0043_mask.tif,256,256,0.308304,0.691696,4,normal,1.0,1
Train,img_4_patch_0044_mask.tif,256,256,0.300323,0.699677,5,normal,1.0,1
Train,img_4_patch_0045_mask.tif,256,256,0.235626,0.764374,3,normal,1.0,1
Train,img_4_patch_0046_mask.tif,256,256,0.05571,0.94429,4,sparse,1.0,1
Train,img_4_patch_0047_mask.tif,256,256,4.6e-05,0.999954,1,very_sparse,1.0,6
Train,img_4_patch_0048_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_4_patch_0049_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_6_patch_0001_mask.tif,256,256,0.279007,0.720993,3,normal,1.0,1
Train,img_6_patch_0002_mask.tif,256,256,0.405029,0.594971,3,dense,1.0,1
Train,img_6_patch_0003_mask.tif,256,256,0.457214,0.542786,7,dense,1.0,1
Train,img_6_patch_0004_mask.tif,256,256,0.394409,0.605591,8,normal,1.0,1
Train,img_6_patch_0005_mask.tif,256,256,0.272781,0.727219,6,normal,1.0,1
Train,img_6_patch_0006_mask.tif,256,256,0.146759,0.853241,6,normal,1.0,1
Train,img_6_patch_0007_mask.tif,256,256,0.117432,0.882568,6,normal,1.0,1
Train,img_6_patch_0008_mask.tif,256,256,0.331161,0.668839,6,normal,1.0,1
Train,img_6_patch_0009_mask.tif,256,256,0.482513,0.517487,6,dense,1.0,1
Train,img_6_patch_0010_mask.tif,256,256,0.542343,0.457657,11,dense,1.0,1
Train,img_6_patch_0011_mask.tif,256,256,0.463898,0.536102,9,dense,1.0,1
Train,img_6_patch_0012_mask.tif,256,256,0.306503,0.693497,8,normal,1.0,1
Train,img_6_patch_0013_mask.tif,256,256,0.155151,0.844849,9,normal,1.0,1
Train,img_6_patch_0014_mask.tif,256,256,0.123596,0.876404,7,normal,1.0,1
Train,img_6_patch_0015_mask.tif,256,256,0.264328,0.735672,5,normal,1.0,1
Train,img_6_patch_0016_mask.tif,256,256,0.419067,0.580933,5,dense,1.0,1
Train,img_6_patch_0017_mask.tif,256,256,0.490128,0.509872,11,dense,1.0,1
Train,img_6_patch_0018_mask.tif,256,256,0.394684,0.605316,10,normal,1.0,1
Train,img_6_patch_0019_mask.tif,256,256,0.284851,0.715149,8,normal,1.0,1
Train,img_6_patch_0020_mask.tif,256,256,0.130112,0.869888,11,normal,1.0,1
Train,img_6_patch_0021_mask.tif,256,256,0.095352,0.904648,8,sparse,1.0,1
Train,img_6_patch_0022_mask.tif,256,256,0.271027,0.728973,7,normal,1.0,1
Train,img_6_patch_0023_mask.tif,256,256,0.423981,0.576019,6,dense,1.0,1
Train,img_6_patch_0024_mask.tif,256,256,0.44606,0.55394,12,dense,1.0,1
Train,img_6_patch_0025_mask.tif,256,256,0.298386,0.701614,13,normal,1.0,1
Train,img_6_patch_0026_mask.tif,256,256,0.227722,0.772278,9,normal,1.0,1
Train,img_6_patch_0027_mask.tif,256,256,0.074768,0.925232,13,sparse,1.0,1
Train,img_6_patch_0028_mask.tif,256,256,0.043106,0.956894,8,sparse,1.0,1
Train,img_6_patch_0029_mask.tif,256,256,0.284058,0.715942,4,normal,1.0,1
Train,img_6_patch_0030_mask.tif,256,256,0.398041,0.601959,5,normal,1.0,1
Train,img_6_patch_0031_mask.tif,256,256,0.395172,0.604828,7,normal,1.0,1
Train,img_6_patch_0032_mask.tif,256,256,0.236664,0.763336,8,normal,1.0,1
Train,img_6_patch_0033_mask.tif,256,256,0.1577,0.8423,8,normal,1.0,1
Train,img_6_patch_0034_mask.tif,256,256,0.039902,0.960098,8,sparse,1.0,1
Train,img_6_patch_0035_mask.tif,256,256,0.015793,0.984207,3,sparse,1.0,1
Train,img_6_patch_0036_mask.tif,256,256,0.286758,0.713242,9,normal,1.0,1
Train,img_6_patch_0037_mask.tif,256,256,0.373184,0.626816,10,normal,1.0,1
Train,img_6_patch_0038_mask.tif,256,256,0.359634,0.640366,7,normal,1.0,1
Train,img_6_patch_0039_mask.tif,256,256,0.196915,0.803085,5,normal,1.0,1
Train,img_6_patch_0040_mask.tif,256,256,0.124207,0.875793,3,normal,1.0,1
Train,img_6_patch_0041_mask.tif,256,256,0.031509,0.968491,3,sparse,1.0,1
Train,img_6_patch_0042_mask.tif,256,256,0.009628,0.990372,1,very_sparse,1.0,6
Train,img_6_patch_0043_mask.tif,256,256,0.285095,0.714905,6,normal,1.0,1
Train,img_6_patch_0044_mask.tif,256,256,0.351715,0.648285,7,normal,1.0,1
Train,img_6_patch_0045_mask.tif,256,256,0.320465,0.679535,7,normal,1.0,1
Train,img_6_patch_0046_mask.tif,256,256,0.170547,0.829453,4,normal,1.0,1
Train,img_6_patch_0047_mask.tif,256,256,0.095261,0.904739,3,sparse,1.0,1
Train,img_6_patch_0048_mask.tif,256,256,0.022369,0.977631,2,sparse,1.0,1
Train,img_6_patch_0049_mask.tif,256,256,0.007111,0.992889,1,very_sparse,1.0,6
Train,img_9_patch_0001_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0002_mask.tif,256,256,0.070282,0.929718,2,sparse,1.0,1
Train,img_9_patch_0003_mask.tif,256,256,0.161835,0.838165,3,normal,1.0,1
Train,img_9_patch_0004_mask.tif,256,256,0.28038,0.71962,3,normal,1.0,1
Train,img_9_patch_0005_mask.tif,256,256,0.512299,0.487701,2,dense,1.0,1
Train,img_9_patch_0006_mask.tif,256,256,0.595749,0.404251,6,dense,1.0,1
Train,img_9_patch_0007_mask.tif,256,256,0.585892,0.414108,8,dense,1.0,1
Train,img_9_patch_0008_mask.tif,256,256,0.527054,0.472946,11,dense,1.0,1
Train,img_9_patch_0009_mask.tif,256,256,0.302551,0.697449,14,normal,1.0,1
Train,img_9_patch_0010_mask.tif,256,256,0.148819,0.851181,13,normal,1.0,1
Train,img_9_patch_0011_mask.tif,256,256,0.067123,0.932877,7,sparse,1.0,1
Train,img_9_patch_0012_mask.tif,256,256,0.007416,0.992584,2,very_sparse,1.0,6
Train,img_9_patch_0013_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0014_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0015_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0016_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0017_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0018_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0019_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0020_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0021_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0022_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0023_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0024_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0025_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0026_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0027_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0028_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0029_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0030_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0031_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0032_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0033_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0034_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0035_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0036_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0037_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0038_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0039_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0040_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0041_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0042_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0043_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0044_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0045_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0046_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0047_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0048_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0049_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0050_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0051_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0052_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0053_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0054_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0055_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0056_mask.tif,256,256,0.064392,0.935608,2,sparse,1.0,1
Train,img_9_patch_0057_mask.tif,256,256,0.202576,0.797424,2,normal,1.0,1
Train,img_9_patch_0058_mask.tif,256,256,0.367416,0.632584,2,normal,1.0,1
Train,img_9_patch_0059_mask.tif,256,256,0.614136,0.385864,1,dense,1.0,1
Train,img_9_patch_0060_mask.tif,256,256,0.699829,0.300171,5,dense,1.0,1
Train,img_9_patch_0061_mask.tif,256,256,0.663666,0.336334,7,dense,1.0,1
Train,img_9_patch_0062_mask.tif,256,256,0.562576,0.437424,12,dense,1.0,1
Train,img_9_patch_0063_mask.tif,256,256,0.329834,0.670166,14,normal,1.0,1
Train,img_9_patch_0064_mask.tif,256,256,0.179749,0.820251,15,normal,1.0,1
Train,img_9_patch_0065_mask.tif,256,256,0.077728,0.922272,9,sparse,1.0,1
Train,img_9_patch_0066_mask.tif,256,256,0.013977,0.986023,5,sparse,1.0,1
Train,img_9_patch_0067_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0068_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0069_mask.tif,256,256,0.0,1.0,0,background,0.1,4
Train,img_9_patch_0070_mask.tif,256,256,0.01918,0.98082,1,sparse,1.0,1
Train,img_9_patch_0071_mask.tif,256,256,0.022156,0.977844,1,sparse,1.0,1
Train,img_9_patch_0072_mask.tif,256,256,0.022156,0.977844,1,sparse,1.0,1
Train,img_9_patch_0073_mask.tif,256,256,0.022156,0.977844,1,sparse,1.0,1
Train,img_9_patch_0074_mask.tif,256,256,0.002975,0.997025,1,very_sparse,1.0,6
