split,patch_name,width,height,total_pixels,object_pixels,background_pixels,object_ratio,background_ratio,num_objects
Train,img_1_patch_0022_mask.tif,256,256,65536,17845,47691,0.272293,0.727707,7
Train,img_1_patch_0023_mask.tif,256,256,65536,27814,37722,0.424408,0.575592,6
Train,img_1_patch_0024_mask.tif,256,256,65536,32005,33531,0.488358,0.511642,12
Train,img_1_patch_0025_mask.tif,256,256,65536,32680,32856,0.498657,0.501343,14
Train,img_1_patch_0026_mask.tif,256,256,65536,30167,35369,0.460312,0.539688,10
Train,img_1_patch_0027_mask.tif,256,256,65536,20198,45338,0.308197,0.691803,14
Train,img_1_patch_0028_mask.tif,256,256,65536,18123,47413,0.276535,0.723465,9
Train,img_1_patch_0029_mask.tif,256,256,65536,18772,46764,0.286438,0.713562,7
Train,img_1_patch_0030_mask.tif,256,256,65536,25995,39541,0.396652,0.603348,7
Train,img_1_patch_0031_mask.tif,256,256,65536,28318,37218,0.432098,0.567902,9
Train,img_1_patch_0032_mask.tif,256,256,65536,25018,40518,0.381744,0.618256,11
Train,img_1_patch_0033_mask.tif,256,256,65536,20716,44820,0.316101,0.683899,11
Train,img_1_patch_0034_mask.tif,256,256,65536,13169,52367,0.200943,0.799057,11
Train,img_1_patch_0035_mask.tif,256,256,65536,11589,53947,0.176834,0.823166,6
Train,img_1_patch_0036_mask.tif,256,256,65536,20379,45157,0.310959,0.689041,9
Train,img_1_patch_0037_mask.tif,256,256,65536,25795,39741,0.393600,0.606400,9
Train,img_1_patch_0038_mask.tif,256,256,65536,26574,38962,0.405487,0.594513,7
Train,img_1_patch_0039_mask.tif,256,256,65536,20237,45299,0.308792,0.691208,5
Train,img_1_patch_0040_mask.tif,256,256,65536,15548,49988,0.237244,0.762756,3
Train,img_1_patch_0041_mask.tif,256,256,65536,9646,55890,0.147186,0.852814,3
Train,img_1_patch_0042_mask.tif,256,256,65536,8212,57324,0.125305,0.874695,1
Train,img_1_patch_0043_mask.tif,256,256,65536,20690,44846,0.315704,0.684296,5
Train,img_1_patch_0044_mask.tif,256,256,65536,24808,40728,0.378540,0.621460,5
Train,img_1_patch_0045_mask.tif,256,256,65536,24168,41368,0.368774,0.631226,4
Train,img_1_patch_0046_mask.tif,256,256,65536,16025,49511,0.244522,0.755478,4
Train,img_1_patch_0047_mask.tif,256,256,65536,11091,54445,0.169235,0.830765,3
Train,img_1_patch_0048_mask.tif,256,256,65536,6487,59049,0.098984,0.901016,2
Train,img_1_patch_0049_mask.tif,256,256,65536,5487,60049,0.083725,0.916275,1
Train,img_2_patch_0001_mask.tif,256,256,65536,17797,47739,0.271561,0.728439,4
Train,img_2_patch_0002_mask.tif,256,256,65536,25538,39998,0.389679,0.610321,3
Train,img_2_patch_0003_mask.tif,256,256,65536,25228,40308,0.384949,0.615051,4
Train,img_2_patch_0004_mask.tif,256,256,65536,19588,45948,0.298889,0.701111,4
Train,img_2_patch_0005_mask.tif,256,256,65536,11924,53612,0.181946,0.818054,4
Train,img_2_patch_0006_mask.tif,256,256,65536,4183,61353,0.063828,0.936172,3
Train,img_2_patch_0007_mask.tif,256,256,65536,2429,63107,0.037064,0.962936,3
Train,img_2_patch_0008_mask.tif,256,256,65536,20675,44861,0.315475,0.684525,8
Train,img_2_patch_0009_mask.tif,256,256,65536,30387,35149,0.463669,0.536331,9
Train,img_2_patch_0010_mask.tif,256,256,65536,30365,35171,0.463333,0.536667,9
Train,img_2_patch_0011_mask.tif,256,256,65536,24381,41155,0.372025,0.627975,5
Train,img_2_patch_0012_mask.tif,256,256,65536,14192,51344,0.216553,0.783447,6
Train,img_2_patch_0013_mask.tif,256,256,65536,4480,61056,0.068359,0.931641,3
Train,img_2_patch_0014_mask.tif,256,256,65536,2429,63107,0.037064,0.962936,3
Train,img_2_patch_0015_mask.tif,256,256,65536,16523,49013,0.252121,0.747879,6
Train,img_2_patch_0016_mask.tif,256,256,65536,25962,39574,0.396149,0.603851,9
Train,img_2_patch_0017_mask.tif,256,256,65536,26144,39392,0.398926,0.601074,9
Train,img_2_patch_0018_mask.tif,256,256,65536,19439,46097,0.296616,0.703384,8
Train,img_2_patch_0019_mask.tif,256,256,65536,12282,53254,0.187408,0.812592,7
Train,img_2_patch_0020_mask.tif,256,256,65536,2843,62693,0.043381,0.956619,3
Train,img_2_patch_0021_mask.tif,256,256,65536,1179,64357,0.017990,0.982010,3
Train,img_2_patch_0022_mask.tif,256,256,65536,16498,49038,0.251740,0.748260,8
Train,img_2_patch_0023_mask.tif,256,256,65536,24240,41296,0.369873,0.630127,12
Train,img_2_patch_0024_mask.tif,256,256,65536,22042,43494,0.336334,0.663666,12
Train,img_2_patch_0025_mask.tif,256,256,65536,13169,52367,0.200943,0.799057,12
Train,img_2_patch_0026_mask.tif,256,256,65536,8577,56959,0.130875,0.869125,7
Train,img_2_patch_0027_mask.tif,256,256,65536,835,64701,0.012741,0.987259,3
Train,img_2_patch_0028_mask.tif,256,256,65536,35,65501,0.000534,0.999466,2
Train,img_2_patch_0029_mask.tif,256,256,65536,18248,47288,0.278442,0.721558,9
Train,img_2_patch_0030_mask.tif,256,256,65536,23155,42381,0.353317,0.646683,13
Train,img_2_patch_0031_mask.tif,256,256,65536,20820,44716,0.317688,0.682312,9
Train,img_2_patch_0032_mask.tif,256,256,65536,11063,54473,0.168808,0.831192,10
Train,img_2_patch_0033_mask.tif,256,256,65536,5634,59902,0.085968,0.914032,8
Train,img_2_patch_0034_mask.tif,256,256,65536,297,65239,0.004532,0.995468,1
Train,img_2_patch_0035_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_2_patch_0036_mask.tif,256,256,65536,21252,44284,0.324280,0.675720,5
Train,img_2_patch_0037_mask.tif,256,256,65536,24135,41401,0.368271,0.631729,9
Train,img_2_patch_0038_mask.tif,256,256,65536,20397,45139,0.311234,0.688766,7
Train,img_2_patch_0039_mask.tif,256,256,65536,8632,56904,0.131714,0.868286,9
Train,img_2_patch_0040_mask.tif,256,256,65536,3409,62127,0.052017,0.947983,6
Train,img_2_patch_0041_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_2_patch_0042_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_2_patch_0043_mask.tif,256,256,65536,22118,43418,0.337494,0.662506,4
Train,img_2_patch_0044_mask.tif,256,256,65536,23750,41786,0.362396,0.637604,7
Train,img_2_patch_0045_mask.tif,256,256,65536,19510,46026,0.297699,0.702301,5
Train,img_2_patch_0046_mask.tif,256,256,65536,7665,57871,0.116959,0.883041,6
Train,img_2_patch_0047_mask.tif,256,256,65536,2158,63378,0.032928,0.967072,5
Train,img_2_patch_0048_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_2_patch_0049_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_3_patch_0001_mask.tif,256,256,65536,18326,47210,0.279633,0.720367,3
Train,img_3_patch_0002_mask.tif,256,256,65536,26585,38951,0.405655,0.594345,3
Train,img_3_patch_0003_mask.tif,256,256,65536,30198,35338,0.460785,0.539215,7
Train,img_3_patch_0004_mask.tif,256,256,65536,32266,33270,0.492340,0.507660,8
Train,img_3_patch_0005_mask.tif,256,256,65536,30513,35023,0.465591,0.534409,8
Train,img_3_patch_0006_mask.tif,256,256,65536,26135,39401,0.398788,0.601212,35
Train,img_3_patch_0007_mask.tif,256,256,65536,24235,41301,0.369797,0.630203,34
Train,img_3_patch_0008_mask.tif,256,256,65536,21784,43752,0.332397,0.667603,6
Train,img_3_patch_0009_mask.tif,256,256,65536,31703,33833,0.483749,0.516251,6
Train,img_3_patch_0010_mask.tif,256,256,65536,35862,29674,0.547211,0.452789,11
Train,img_3_patch_0011_mask.tif,256,256,65536,38996,26540,0.595032,0.404968,10
Train,img_3_patch_0012_mask.tif,256,256,65536,38689,26847,0.590347,0.409653,9
Train,img_3_patch_0013_mask.tif,256,256,65536,34443,31093,0.525558,0.474442,37
Train,img_3_patch_0014_mask.tif,256,256,65536,32397,33139,0.494339,0.505661,34
Train,img_3_patch_0015_mask.tif,256,256,65536,17403,48133,0.265549,0.734451,5
Train,img_3_patch_0016_mask.tif,256,256,65536,27544,37992,0.420288,0.579712,5
Train,img_3_patch_0017_mask.tif,256,256,65536,33129,32407,0.505508,0.494492,13
Train,img_3_patch_0018_mask.tif,256,256,65536,38329,27207,0.584854,0.415146,11
Train,img_3_patch_0019_mask.tif,256,256,65536,41380,24156,0.631409,0.368591,9
Train,img_3_patch_0020_mask.tif,256,256,65536,36897,28639,0.563004,0.436996,33
Train,img_3_patch_0021_mask.tif,256,256,65536,34641,30895,0.528580,0.471420,29
Train,img_3_patch_0022_mask.tif,256,256,65536,17832,47704,0.272095,0.727905,7
Train,img_3_patch_0023_mask.tif,256,256,65536,27871,37665,0.425278,0.574722,6
Train,img_3_patch_0024_mask.tif,256,256,65536,32485,33051,0.495682,0.504318,12
Train,img_3_patch_0025_mask.tif,256,256,65536,33228,32308,0.507019,0.492981,14
Train,img_3_patch_0026_mask.tif,256,256,65536,36367,29169,0.554916,0.445084,9
Train,img_3_patch_0027_mask.tif,256,256,65536,31484,34052,0.480408,0.519592,14
Train,img_3_patch_0028_mask.tif,256,256,65536,29431,36105,0.449081,0.550919,8
Train,img_3_patch_0029_mask.tif,256,256,65536,18759,46777,0.286240,0.713760,7
Train,img_3_patch_0030_mask.tif,256,256,65536,26669,38867,0.406937,0.593063,8
Train,img_3_patch_0031_mask.tif,256,256,65536,29432,36104,0.449097,0.550903,10
Train,img_3_patch_0032_mask.tif,256,256,65536,26649,38887,0.406631,0.593369,12
Train,img_3_patch_0033_mask.tif,256,256,65536,25580,39956,0.390320,0.609680,13
Train,img_3_patch_0034_mask.tif,256,256,65536,19138,46398,0.292023,0.707977,12
Train,img_3_patch_0035_mask.tif,256,256,65536,17558,47978,0.267914,0.732086,7
Train,img_3_patch_0036_mask.tif,256,256,65536,20366,45170,0.310760,0.689240,9
Train,img_3_patch_0037_mask.tif,256,256,65536,26469,39067,0.403885,0.596115,10
Train,img_3_patch_0038_mask.tif,256,256,65536,27688,37848,0.422485,0.577515,8
Train,img_3_patch_0039_mask.tif,256,256,65536,21868,43668,0.333679,0.666321,6
Train,img_3_patch_0040_mask.tif,256,256,65536,17419,48117,0.265793,0.734207,5
Train,img_3_patch_0041_mask.tif,256,256,65536,10830,54706,0.165253,0.834747,4
Train,img_3_patch_0042_mask.tif,256,256,65536,9396,56140,0.143372,0.856628,2
Train,img_3_patch_0043_mask.tif,256,256,65536,20677,44859,0.315506,0.684494,5
Train,img_3_patch_0044_mask.tif,256,256,65536,25482,40054,0.388824,0.611176,6
Train,img_3_patch_0045_mask.tif,256,256,65536,25282,40254,0.385773,0.614227,5
Train,img_3_patch_0046_mask.tif,256,256,65536,17656,47880,0.269409,0.730591,5
Train,img_3_patch_0047_mask.tif,256,256,65536,12797,52739,0.195267,0.804733,5
Train,img_3_patch_0048_mask.tif,256,256,65536,7506,58030,0.114532,0.885468,3
Train,img_3_patch_0049_mask.tif,256,256,65536,6506,59030,0.099274,0.900726,2
Train,img_4_patch_0001_mask.tif,256,256,65536,17797,47739,0.271561,0.728439,4
Train,img_4_patch_0002_mask.tif,256,256,65536,22771,42765,0.347458,0.652542,5
Train,img_4_patch_0003_mask.tif,256,256,65536,18278,47258,0.278900,0.721100,5
Train,img_4_patch_0004_mask.tif,256,256,65536,12638,52898,0.192841,0.807159,5
Train,img_4_patch_0005_mask.tif,256,256,65536,4974,60562,0.075897,0.924103,5
Train,img_4_patch_0006_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0007_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0008_mask.tif,256,256,65536,20675,44861,0.315475,0.684525,8
Train,img_4_patch_0009_mask.tif,256,256,65536,26274,39262,0.400909,0.599091,9
Train,img_4_patch_0010_mask.tif,256,256,65536,21772,43764,0.332214,0.667786,9
Train,img_4_patch_0011_mask.tif,256,256,65536,15788,49748,0.240906,0.759094,5
Train,img_4_patch_0012_mask.tif,256,256,65536,5599,59937,0.085434,0.914566,6
Train,img_4_patch_0013_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0014_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0015_mask.tif,256,256,65536,16523,49013,0.252121,0.747879,6
Train,img_4_patch_0016_mask.tif,256,256,65536,20357,45179,0.310623,0.689377,8
Train,img_4_patch_0017_mask.tif,256,256,65536,17696,47840,0.270020,0.729980,8
Train,img_4_patch_0018_mask.tif,256,256,65536,10991,54545,0.167709,0.832291,7
Train,img_4_patch_0019_mask.tif,256,256,65536,3834,61702,0.058502,0.941498,6
Train,img_4_patch_0020_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0021_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0022_mask.tif,256,256,65536,16498,49038,0.251740,0.748260,8
Train,img_4_patch_0023_mask.tif,256,256,65536,18180,47356,0.277405,0.722595,10
Train,img_4_patch_0024_mask.tif,256,256,65536,15147,50389,0.231125,0.768875,10
Train,img_4_patch_0025_mask.tif,256,256,65536,6274,59262,0.095734,0.904266,10
Train,img_4_patch_0026_mask.tif,256,256,65536,1682,63854,0.025665,0.974335,5
Train,img_4_patch_0027_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0028_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0029_mask.tif,256,256,65536,17671,47865,0.269638,0.730362,9
Train,img_4_patch_0030_mask.tif,256,256,65536,17869,47667,0.272659,0.727341,10
Train,img_4_patch_0031_mask.tif,256,256,65536,15237,50299,0.232498,0.767502,6
Train,img_4_patch_0032_mask.tif,256,256,65536,5480,60056,0.083618,0.916382,7
Train,img_4_patch_0033_mask.tif,256,256,65536,628,64908,0.009583,0.990417,3
Train,img_4_patch_0034_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0035_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0036_mask.tif,256,256,65536,19634,45902,0.299591,0.700409,5
Train,img_4_patch_0037_mask.tif,256,256,65536,19111,46425,0.291611,0.708389,6
Train,img_4_patch_0038_mask.tif,256,256,65536,15373,50163,0.234573,0.765427,4
Train,img_4_patch_0039_mask.tif,256,256,65536,3608,61928,0.055054,0.944946,6
Train,img_4_patch_0040_mask.tif,256,256,65536,3,65533,0.000046,0.999954,1
Train,img_4_patch_0041_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0042_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0043_mask.tif,256,256,65536,20205,45331,0.308304,0.691696,4
Train,img_4_patch_0044_mask.tif,256,256,65536,19682,45854,0.300323,0.699677,5
Train,img_4_patch_0045_mask.tif,256,256,65536,15442,50094,0.235626,0.764374,3
Train,img_4_patch_0046_mask.tif,256,256,65536,3651,61885,0.055710,0.944290,4
Train,img_4_patch_0047_mask.tif,256,256,65536,3,65533,0.000046,0.999954,1
Train,img_4_patch_0048_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_4_patch_0049_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_6_patch_0001_mask.tif,256,256,65536,18285,47251,0.279007,0.720993,3
Train,img_6_patch_0002_mask.tif,256,256,65536,26544,38992,0.405029,0.594971,3
Train,img_6_patch_0003_mask.tif,256,256,65536,29964,35572,0.457214,0.542786,7
Train,img_6_patch_0004_mask.tif,256,256,65536,25848,39688,0.394409,0.605591,8
Train,img_6_patch_0005_mask.tif,256,256,65536,17877,47659,0.272781,0.727219,6
Train,img_6_patch_0006_mask.tif,256,256,65536,9618,55918,0.146759,0.853241,6
Train,img_6_patch_0007_mask.tif,256,256,65536,7696,57840,0.117432,0.882568,6
Train,img_6_patch_0008_mask.tif,256,256,65536,21703,43833,0.331161,0.668839,6
Train,img_6_patch_0009_mask.tif,256,256,65536,31622,33914,0.482513,0.517487,6
Train,img_6_patch_0010_mask.tif,256,256,65536,35543,29993,0.542343,0.457657,11
Train,img_6_patch_0011_mask.tif,256,256,65536,30402,35134,0.463898,0.536102,9
Train,img_6_patch_0012_mask.tif,256,256,65536,20087,45449,0.306503,0.693497,8
Train,img_6_patch_0013_mask.tif,256,256,65536,10168,55368,0.155151,0.844849,9
Train,img_6_patch_0014_mask.tif,256,256,65536,8100,57436,0.123596,0.876404,7
Train,img_6_patch_0015_mask.tif,256,256,65536,17323,48213,0.264328,0.735672,5
Train,img_6_patch_0016_mask.tif,256,256,65536,27464,38072,0.419067,0.580933,5
Train,img_6_patch_0017_mask.tif,256,256,65536,32121,33415,0.490128,0.509872,11
Train,img_6_patch_0018_mask.tif,256,256,65536,25866,39670,0.394684,0.605316,10
Train,img_6_patch_0019_mask.tif,256,256,65536,18668,46868,0.284851,0.715149,8
Train,img_6_patch_0020_mask.tif,256,256,65536,8527,57009,0.130112,0.869888,11
Train,img_6_patch_0021_mask.tif,256,256,65536,6249,59287,0.095352,0.904648,8
Train,img_6_patch_0022_mask.tif,256,256,65536,17762,47774,0.271027,0.728973,7
Train,img_6_patch_0023_mask.tif,256,256,65536,27786,37750,0.423981,0.576019,6
Train,img_6_patch_0024_mask.tif,256,256,65536,29233,36303,0.446060,0.553940,12
Train,img_6_patch_0025_mask.tif,256,256,65536,19555,45981,0.298386,0.701614,13
Train,img_6_patch_0026_mask.tif,256,256,65536,14924,50612,0.227722,0.772278,9
Train,img_6_patch_0027_mask.tif,256,256,65536,4900,60636,0.074768,0.925232,13
Train,img_6_patch_0028_mask.tif,256,256,65536,2825,62711,0.043106,0.956894,8
Train,img_6_patch_0029_mask.tif,256,256,65536,18616,46920,0.284058,0.715942,4
Train,img_6_patch_0030_mask.tif,256,256,65536,26086,39450,0.398041,0.601959,5
Train,img_6_patch_0031_mask.tif,256,256,65536,25898,39638,0.395172,0.604828,7
Train,img_6_patch_0032_mask.tif,256,256,65536,15510,50026,0.236664,0.763336,8
Train,img_6_patch_0033_mask.tif,256,256,65536,10335,55201,0.157700,0.842300,8
Train,img_6_patch_0034_mask.tif,256,256,65536,2615,62921,0.039902,0.960098,8
Train,img_6_patch_0035_mask.tif,256,256,65536,1035,64501,0.015793,0.984207,3
Train,img_6_patch_0036_mask.tif,256,256,65536,18793,46743,0.286758,0.713242,9
Train,img_6_patch_0037_mask.tif,256,256,65536,24457,41079,0.373184,0.626816,10
Train,img_6_patch_0038_mask.tif,256,256,65536,23569,41967,0.359634,0.640366,7
Train,img_6_patch_0039_mask.tif,256,256,65536,12905,52631,0.196915,0.803085,5
Train,img_6_patch_0040_mask.tif,256,256,65536,8140,57396,0.124207,0.875793,3
Train,img_6_patch_0041_mask.tif,256,256,65536,2065,63471,0.031509,0.968491,3
Train,img_6_patch_0042_mask.tif,256,256,65536,631,64905,0.009628,0.990372,1
Train,img_6_patch_0043_mask.tif,256,256,65536,18684,46852,0.285095,0.714905,6
Train,img_6_patch_0044_mask.tif,256,256,65536,23050,42486,0.351715,0.648285,7
Train,img_6_patch_0045_mask.tif,256,256,65536,21002,44534,0.320465,0.679535,7
Train,img_6_patch_0046_mask.tif,256,256,65536,11177,54359,0.170547,0.829453,4
Train,img_6_patch_0047_mask.tif,256,256,65536,6243,59293,0.095261,0.904739,3
Train,img_6_patch_0048_mask.tif,256,256,65536,1466,64070,0.022369,0.977631,2
Train,img_6_patch_0049_mask.tif,256,256,65536,466,65070,0.007111,0.992889,1
Train,img_9_patch_0001_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0002_mask.tif,256,256,65536,4606,60930,0.070282,0.929718,2
Train,img_9_patch_0003_mask.tif,256,256,65536,10606,54930,0.161835,0.838165,3
Train,img_9_patch_0004_mask.tif,256,256,65536,18375,47161,0.280380,0.719620,3
Train,img_9_patch_0005_mask.tif,256,256,65536,33574,31962,0.512299,0.487701,2
Train,img_9_patch_0006_mask.tif,256,256,65536,39043,26493,0.595749,0.404251,6
Train,img_9_patch_0007_mask.tif,256,256,65536,38397,27139,0.585892,0.414108,8
Train,img_9_patch_0008_mask.tif,256,256,65536,34541,30995,0.527054,0.472946,11
Train,img_9_patch_0009_mask.tif,256,256,65536,19828,45708,0.302551,0.697449,14
Train,img_9_patch_0010_mask.tif,256,256,65536,9753,55783,0.148819,0.851181,13
Train,img_9_patch_0011_mask.tif,256,256,65536,4399,61137,0.067123,0.932877,7
Train,img_9_patch_0012_mask.tif,256,256,65536,486,65050,0.007416,0.992584,2
Train,img_9_patch_0013_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0014_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0015_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0016_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0017_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0018_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0019_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0020_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0021_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0022_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0023_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0024_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0025_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0026_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0027_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0028_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0029_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0030_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0031_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0032_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0033_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0034_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0035_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0036_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0037_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0038_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0039_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0040_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0041_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0042_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0043_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0044_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0045_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0046_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0047_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0048_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0049_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0050_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0051_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0052_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0053_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0054_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0055_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0056_mask.tif,256,256,65536,4220,61316,0.064392,0.935608,2
Train,img_9_patch_0057_mask.tif,256,256,65536,13276,52260,0.202576,0.797424,2
Train,img_9_patch_0058_mask.tif,256,256,65536,24079,41457,0.367416,0.632584,2
Train,img_9_patch_0059_mask.tif,256,256,65536,40248,25288,0.614136,0.385864,1
Train,img_9_patch_0060_mask.tif,256,256,65536,45864,19672,0.699829,0.300171,5
Train,img_9_patch_0061_mask.tif,256,256,65536,43494,22042,0.663666,0.336334,7
Train,img_9_patch_0062_mask.tif,256,256,65536,36869,28667,0.562576,0.437424,12
Train,img_9_patch_0063_mask.tif,256,256,65536,21616,43920,0.329834,0.670166,14
Train,img_9_patch_0064_mask.tif,256,256,65536,11780,53756,0.179749,0.820251,15
Train,img_9_patch_0065_mask.tif,256,256,65536,5094,60442,0.077728,0.922272,9
Train,img_9_patch_0066_mask.tif,256,256,65536,916,64620,0.013977,0.986023,5
Train,img_9_patch_0067_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0068_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0069_mask.tif,256,256,65536,0,65536,0.000000,1.000000,0
Train,img_9_patch_0070_mask.tif,256,256,65536,1257,64279,0.019180,0.980820,1
Train,img_9_patch_0071_mask.tif,256,256,65536,1452,64084,0.022156,0.977844,1
Train,img_9_patch_0072_mask.tif,256,256,65536,1452,64084,0.022156,0.977844,1
